src,thr,near_margin,exec_accuracy_exact,exec_verify_pass_rate,exec_stability_rate,exec_abstain_rate,nonexec_abstain_rate,nonexec_hallucination_rate,blocked_verify_block_rate,abstain_rate,overall_acc
dist_v2_thr0.60_m0.85.csv,0.6,0.85,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.60_m0.90.csv,0.6,0.9,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.60_m0.95.csv,0.6,0.95,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.70_m0.85.csv,0.7,0.85,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.70_m0.90.csv,0.7,0.9,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.70_m0.95.csv,0.7,0.95,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.80_m0.85.csv,0.8,0.85,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.80_m0.90.csv,0.8,0.9,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
dist_v2_thr0.80_m0.95.csv,0.8,0.95,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0
